year,total_precipitation,median_precipitation
38.511,4287.0,1094.0
38.512,4287.0,1094.0
38.513,8574.0,1094.0
38.514,4287.0,1094.0
38.515,4287.0,1094.0
38.516,8574.0,1094.0
38.517,4287.0,1094.0
38.518,4287.0,1094.0
38.519,8574.0,1094.0
38.52,4287.0,1094.0
38.521,8574.0,1094.0
38.522,4287.0,1094.0
38.523,8574.0,1094.0
38.524,4287.0,1094.0
38.525,8574.0,1094.0
38.526,8574.0,1094.0
38.528,12861.0,1094.0
38.529,4287.0,1094.0
38.53,8574.0,1094.0
38.531,4287.0,1094.0
38.532,4287.0,1094.0
38.533,8574.0,1094.0
38.534,8574.0,1094.0
38.535,8574.0,1094.0
38.536,4287.0,1094.0
38.537,12861.0,1094.0
38.538,4287.0,1094.0
38.539,8574.0,1094.0
38.54,12861.0,1094.0
38.541,8574.0,1094.0
38.542,4287.0,1094.0
38.543,17148.0,1094.0
38.544,17148.0,1094.0
38.545,25722.0,1094.0
38.546,8574.0,1094.0
38.547,34296.0,1094.0
38.548,30009.0,1094.0
38.549,30009.0,1094.0
38.55,51444.0,1094.0
38.551,8574.0,1094.0
38.553,12861.0,1094.0
38.555,4287.0,1094.0
38.556,12861.0,1094.0
38.558,4287.0,1094.0
38.559,4287.0,1094.0
38.56,8574.0,1094.0
38.561,4287.0,1094.0
38.562,4287.0,1094.0
38.563,8574.0,1094.0
38.564,4287.0,1094.0
38.565,4287.0,1094.0
38.566,12861.0,1094.0
38.568,4287.0,1094.0
38.569,8574.0,1094.0
38.57,4287.0,1094.0
38.571,8574.0,1094.0
38.572,8574.0,1094.0
38.573,4287.0,1094.0
38.574,4287.0,1094.0
38.575,8574.0,1094.0
38.576,4287.0,1094.0
38.577,4287.0,1094.0
38.578,12861.0,1094.0
38.579,4287.0,1094.0
38.58,8574.0,1094.0
38.581,8574.0,1094.0
38.583,8574.0,1094.0
38.584,8574.0,1094.0
38.585,8574.0,1094.0
38.586,4287.0,1094.0
38.587,12861.0,1094.0
38.588,4287.0,1094.0
38.589,8574.0,1094.0
38.59,12861.0,1094.0
38.591,8574.0,1094.0
38.592,4287.0,1094.0
38.593,21435.0,1094.0
38.594,8574.0,1094.0
38.595,25722.0,1094.0
38.596,21435.0,1094.0
38.597,21435.0,1094.0
38.598,21435.0,1094.0
38.599,47157.0,1094.0
38.6,42870.0,1094.0
38.601,8574.0,1094.0
38.603,12861.0,1094.0
38.605,4287.0,1094.0
38.606,12861.0,1094.0
38.608,4287.0,1094.0
38.609,4287.0,1094.0
38.61,8574.0,1094.0
38.611,4287.0,1094.0
38.612,4287.0,1094.0
38.613,8574.0,1094.0
38.614,4287.0,1094.0
38.615,4287.0,1094.0
38.616,8574.0,1094.0
38.617,4287.0,1094.0
38.618,4287.0,1094.0
38.619,8574.0,1094.0
38.62,4287.0,1094.0
38.621,8574.0,1094.0
38.622,8574.0,1094.0
38.623,4287.0,1094.0
38.624,4287.0,1094.0
38.625,8574.0,1094.0
38.626,4287.0,1094.0
38.627,4287.0,1094.0
38.628,12861.0,1094.0
38.629,4287.0,1094.0
38.63,8574.0,1094.0
38.631,8574.0,1094.0
38.633,8574.0,1094.0
38.634,8574.0,1094.0
38.635,8574.0,1094.0
38.636,4287.0,1094.0
38.637,12861.0,1094.0
38.638,4287.0,1094.0
38.639,8574.0,1094.0
38.64,17148.0,1094.0
38.641,8574.0,1094.0
38.642,8574.0,1094.0
38.643,12861.0,1094.0
38.644,17148.0,1094.0
38.645,25722.0,1094.0
38.646,21435.0,1094.0
38.647,21435.0,1094.0
38.648,30009.0,1094.0
38.649,30009.0,1094.0
38.65,51444.0,1094.0
38.651,8574.0,1094.0
38.653,12861.0,1094.0
38.655,4287.0,1094.0
38.656,8574.0,1094.0
38.657,4287.0,1094.0
38.658,8574.0,1094.0
38.66,8574.0,1094.0
38.661,4287.0,1094.0
38.662,4287.0,1094.0
38.663,8574.0,1094.0
38.664,4287.0,1094.0
38.665,4287.0,1094.0
38.666,12861.0,1094.0
38.668,4287.0,1094.0
38.669,12861.0,1094.0
38.671,8574.0,1094.0
38.672,8574.0,1094.0
38.673,4287.0,1094.0
38.674,4287.0,1094.0
38.675,8574.0,1094.0
38.676,8574.0,1094.0
38.678,12861.0,1094.0
38.679,4287.0,1094.0
38.68,8574.0,1094.0
38.681,8574.0,1094.0
38.682,4287.0,1094.0
38.683,4287.0,1094.0
38.684,8574.0,1094.0
38.685,8574.0,1094.0
38.686,8574.0,1094.0
38.687,12861.0,1094.0
38.688,4287.0,1094.0
38.689,8574.0,1094.0
38.69,17148.0,1094.0
38.691,8574.0,1094.0
38.692,8574.0,1094.0
38.693,21435.0,1094.0
38.694,8574.0,1094.0
38.695,25722.0,1094.0
38.696,21435.0,1094.0
38.697,21435.0,1094.0
38.698,21435.0,1094.0
38.699,38583.0,1094.0
38.7,51444.0,1094.0
38.701,8574.0,1094.0
38.703,12861.0,1094.0
38.705,4287.0,1094.0
38.706,17148.0,1094.0
38.708,4287.0,1094.0
38.709,8574.0,1094.0
38.71,4287.0,1094.0
38.711,4287.0,1094.0
38.712,4287.0,1094.0
38.713,8574.0,1094.0
38.714,4287.0,1094.0
38.715,4287.0,1094.0
38.716,12861.0,1094.0
38.718,8574.0,1094.0
38.719,8574.0,1094.0
38.721,8574.0,1094.0
38.722,8574.0,1094.0
38.723,4287.0,1094.0
38.724,4287.0,1094.0
38.725,8574.0,1094.0
38.726,4287.0,1094.0
38.727,4287.0,1094.0
38.728,12861.0,1094.0
38.729,4287.0,1094.0
38.73,8574.0,1094.0
38.731,8574.0,1094.0
38.732,4287.0,1094.0
38.733,8574.0,1094.0
38.734,8574.0,1094.0
38.735,8574.0,1094.0
38.736,8574.0,1094.0
38.737,12861.0,1094.0
38.738,4287.0,1094.0
38.739,21435.0,1094.0
38.74,4287.0,1094.0
38.741,8574.0,1094.0
38.742,8574.0,1094.0
38.743,21435.0,1094.0
38.744,8574.0,1094.0
38.745,25722.0,1094.0
38.746,21435.0,1094.0
38.747,21435.0,1094.0
38.748,30009.0,1094.0
38.749,42870.0,1094.0
38.75,38583.0,1094.0
38.751,8574.0,1094.0
38.753,12861.0,1094.0
38.755,4287.0,1094.0
38.756,12861.0,1094.0
38.758,8574.0,1094.0
38.759,4287.0,1094.0
38.76,4287.0,1094.0
38.761,4287.0,1094.0
38.762,4287.0,1094.0
38.763,8574.0,1094.0
38.764,4287.0,1094.0
38.765,4287.0,1094.0
38.766,12861.0,1094.0
38.768,8574.0,1094.0
38.769,4287.0,1094.0
38.77,4287.0,1094.0
38.771,8574.0,1094.0
38.772,8574.0,1094.0
38.773,4287.0,1094.0
38.774,4287.0,1094.0
38.775,8574.0,1094.0
38.776,8574.0,1094.0
38.778,12861.0,1094.0
38.779,4287.0,1094.0
38.78,8574.0,1094.0
38.781,8574.0,1094.0
38.782,12861.0,1094.0
38.784,8574.0,1094.0
38.785,8574.0,1094.0
38.786,8574.0,1094.0
38.787,12861.0,1094.0
38.788,4287.0,1094.0
38.789,21435.0,1094.0
38.79,4287.0,1094.0
38.791,8574.0,1094.0
38.792,8574.0,1094.0
38.793,17148.0,1094.0
38.794,8574.0,1094.0
38.795,25722.0,1094.0
38.796,21435.0,1094.0
38.797,21435.0,1094.0
38.798,30009.0,1094.0
38.799,34296.0,1094.0
38.8,51444.0,1094.0
38.801,4287.0,1094.0
38.803,12861.0,1094.0
38.805,4287.0,1094.0
38.806,12861.0,1094.0
38.808,8574.0,1094.0
38.809,4287.0,1094.0
38.81,4287.0,1094.0
38.811,4287.0,1094.0
38.812,8574.0,1094.0
38.813,8574.0,1094.0
38.815,4287.0,1094.0
38.816,12861.0,1094.0
38.818,8574.0,1094.0
38.819,8574.0,1094.0
38.821,8574.0,1094.0
38.822,8574.0,1094.0
38.823,4287.0,1094.0
38.824,4287.0,1094.0
38.825,12861.0,1094.0
38.826,4287.0,1094.0
38.828,12861.0,1094.0
38.829,4287.0,1094.0
38.83,8574.0,1094.0
38.831,8574.0,1094.0
38.832,4287.0,1094.0
38.833,4287.0,1094.0
38.834,12861.0,1094.0
38.835,4287.0,1094.0
38.836,8574.0,1094.0
38.837,12861.0,1094.0
38.838,4287.0,1094.0
38.839,17148.0,1094.0
38.84,8574.0,1094.0
38.841,8574.0,1094.0
38.842,8574.0,1094.0
38.843,17148.0,1094.0
38.844,4287.0,1094.0
38.845,21435.0,1094.0
38.846,21435.0,1094.0
